"Fmsy" "fnames" "M" "Umsy" "Bmsy" "wInf" "t0" "wMat" "aMat" "k"
"129" NA "CRLOBSTERSA8" 0.11 NA NA NA NA NA NA NA
"130" NA "CROAKSPPWASG1" NA NA NA NA NA NA NA NA
"131" NA "CROAKSPPWASG2" NA NA NA NA NA NA NA NA
"132" NA "CROAKSPPWASG3" NA NA NA NA NA NA NA NA
"133" NA "CROCKPCOAST" 0.06 0.0304 NA 2265 NA 1150.5895319748 NA 0.125
"134" NA "CROCKWCVANISOGQCI" 0.06 0.122 NA NA NA NA NA NA
"135" NA "CSHRIMPWA" NA NA NA NA NA NA NA NA
"136" NA "CSKATMATLC" NA NA NA 1373 NA NA NA NA
"137" 0.19 "CTRACSA" 0.3 0.24 307654.14 1267 -0.654 NA NA 0.183
"138" NA "CUSK4X" NA 0.0575 25790 15000 NA NA NA 0.13
"139" NA "CUTTLEWA" NA NA NA NA NA NA NA NA
"140" 0.35 "DEEPCHAKESA" 0.47 NA NA 23914.6135272965 -0.234 NA NA 0.119
"141" NA "DEEPFLATHEADSE" 0.2 NA NA 8573.75 -0.637 640 5 0.195
"142" 0.068 "DKROCKPCOAST" 0.07 NA NA 975.5 NA NA NA 0.189212
"143" NA "DRSHRIMPWA" NA NA NA NA NA NA NA NA
"144" 0.149 "DSOLEGA" 0.085 NA NA 5157.16364876311 NA 877.279246445983 6.7 NA
"145" NA "DSOLEPCOAST" 0.101 0.131 NA 1750 NA 0.41740804393439 NA 0.096
"146" 0.087 "DUSROCKGA" 0.07 NA NA 689.158565604091 1.27 17.6628497194379 11.3 0.23
"147" NA "ESOLEHS" 0.2 NA NA 1091 NA NA NA NA
"148" NA "ESOLEPCOAST" NA 0.27 NA 750 NA NA NA 0.27
"149" 0.342 "FLSOLEBSAI" 0.2 NA NA 4136.16892210144 -1.24 NA NA 0.1
"150" 0.481 "FLSOLEGA" 0.2 NA NA 2088.18723624052 NA 354.729465956337 8.74 NA
"151" NA "FMEG8c9a" 0.2 NA NA 320 NA NA NA NA
"152" NA "FSCADWA" NA NA NA NA NA NA NA NA
"153" 0.03 "FTOOTHSHARATL" NA NA NA 20704.1087548175 -1.83 NA 5 0.27
"154" 0.1 "GAGGM" 0.13 NA NA 18250 NA NA NA NA
"155" 0.295 "GAGSATLC" 0.14 0.124410267 NA 18250 NA NA NA NA
"156" 0.289566667 "GEMFISHNZ" 0.24 0.313728039 NA 35816.550535132 -0.71 NA 8 0.167
"157" NA "GEMFISHSE" NA NA NA 48705.7854290481 NA 2404.35171618682 3 NA
"158" NA "GGRUNTWASG1" NA NA NA NA NA NA NA NA
"159" NA "GGRUNTWASG3" NA NA NA NA NA NA NA NA
"160" 0.22 "GHAL01ABCDEF" NA NA NA 22500 NA NA NA NA
"161" NA "GHAL23KLMNO" 0.2 NA NA 22500 NA NA NA NA
"162" NA "GHAL4RST" NA NA NA 22500 NA NA NA NA
"163" 0.566 "GHALBSAI" 0.112 NA NA 22500 NA NA NA NA
"164" NA "GHALNEAR" 0.15 NA NA 22500 -0.08 NA NA 0.0847
"165" NA "GOLDREDNEAR" 0.1 NA NA 5000 0.08 NA NA 0.09
"166" NA "GOPHERSPCOAST" 0.2 NA 1010 296.5 NA NA NA 0.186
"167" 0.5679 "GRAMBERGM" NA 0.246914287 4024.721816 10495.2626257959 -0.3773 NA NA 0.25
"168" 0.433 "GRAMBERSATLC" 0.25 0.165625569 5491 40300 NA NA NA NA
"169" NA "GRNSTROCKPCOAST" 0.08 0.0682 NA 654 -2.54 NA NA 0.1
"170" NA "GRSPROCKNCAL" 0.07 0.07 NA 1489.88064893132 NA NA NA 0.0567
"171" NA "GRSPROCKSCAL" 0.07 0.06 NA 787.818678532723 NA NA NA 0.042
"172" 0.38 "GSTRGZRSTA7" 0.18 0.102939185 NA 5200.76101150803 -0.7 NA NA 0.13
"173" NA "GTPRAWNNAUST" NA NA NA NA NA NA NA NA
