"V1" "V2" "V3" "V4" "V5" "V6"
"44" 90049.3972476974 6.03394719445963 9650.54659090704 20317.3985617803 0 0
"45" 74237.6393001591 0.602131631745326 9645.65566839234 20307.215071011 0 0
"46" 0 0 12414.1648363854 24699.1129204839 0 0
"47" 78148.1178878764 111.898086076831 12449.5659551434 24672.4567018534 0 0
"48" 115034.129444652 1918.28102463908 12402.9023493966 24599.6863071246 0 0
"49" 134476.452488817 3555.45528011022 12397.9931223955 24559.3545877035 0 0
"50" 145288.15619757 3945.77812929617 12413.1293792359 24549.5475341235 0 0
"51" 150055.488362159 3862.54744680539 12427.6741142815 24543.5017996759 0 0
"52" 150681.400240969 3452.10574275859 12440.8247412287 24538.6844317316 0 0
"53" 148269.029514979 2795.41939258573 12452.5593633887 24534.348161884 0 0
"54" 143425.376836829 1996.26135352799 12462.3752527481 24529.7825931359 0 0
"55" 136456.314059392 1198.86113634004 12469.2777810946 24524.159698963 0 0
"56" 127500.808347298 565.710975158685 12472.1964225425 24516.6442742641 0 0
"57" 116656.545617849 194.265121038471 12470.9030389523 24506.8279737015 0 0
"58" 104053.153849288 45.6630714467016 12466.4820485854 24495.1129717335 0 0
"59" 89813.5031067279 7.13088516622835 12460.3834667758 24482.2864798577 0 0
"60" 74007.3876804212 0.735952500232021 12453.4134373196 24468.8165835601 0 0
"61" 0 0 14473.672504054 27248.2003302264 0 0
"62" 78185.2501539998 139.553838207502 14513.1773186418 27213.8406386694 0 0
"63" 114837.931970959 2096.65304997332 14450.5502218335 27120.3662706798 0 0
"64" 134468.493975851 3626.14062928069 14449.1925266695 27078.6592787979 0 0
"65" 145289.198665452 4004.04876468429 14467.7750608044 27067.3491094238 0 0
"66" 150044.05753466 3926.15531123498 14485.2398681614 27059.9487064449 0 0
"67" 150660.978444903 3520.24985908574 14501.0148165977 27054.0241858532 0 0
"68" 148245.475466837 2864.28668807175 14515.1098565829 27048.7183877529 0 0
"69" 143405.364806335 2060.13096404007 14526.9236630631 27043.1837813407 0 0
"70" 136446.988184909 1250.48403469588 14535.2482756763 27036.4363341123 0 0
"71" 127507.497748492 599.12549015466 14538.7485146789 27027.4843759455 0 0
"72" 116679.145605354 209.869813027488 14537.0660700385 27015.8301548952 0 0
"73" 104086.708058358 50.4896794323649 14531.4617521139 27001.9264615815 0 0
"74" 89853.5208569861 8.08316248693397 14523.7257101733 26986.6992109806 0 0
"75" 74052.1969944328 0.855822782134494 14514.890448624 26970.7125453563 0 0
"76" 0 0 15996.7622518341 28748.8562876039 0 0
"77" 78324.9851596938 164.701608213509 16037.1001517598 28706.022271389 0 0
"78" 114866.193574137 2226.50434640211 15960.3775671009 28596.5867628068 0 0
"79" 134650.651237509 3678.7818516376 15961.8225391424 28554.1451453505 0 0
"80" 145486.864161089 4050.98906767829 15982.7639487934 28541.011386156 0 0
"81" 150239.331353589 3978.08957627645 16002.2377204397 28531.9732170901 0 0
"82" 150854.15889206 3576.08380759868 16019.8466116813 28524.6671973367 0 0
"83" 148439.690019729 2920.87803348725 16035.6108774222 28518.1380712261 0 0
"84" 143605.015868837 2112.85136323235 16048.8410471579 28511.4364640529 0 0
"85" 136657.151819313 1293.43164094829 16058.1518476723 28503.4778288365 0 0
"86" 127731.967659136 627.288893876488 16061.9838077399 28493.1748962987 0 0
"87" 116917.509321338 223.270041557739 16059.8498148576 28479.966697412 0 0
"88" 104334.755606405 54.7292948138857 16053.1312363054 28464.3166587469 0 0
"89" 90107.5192192485 8.94011090882696 16043.8943612178 28447.2196497884 0 0
"90" 74310.5895461743 0.966362619365195 16033.3672627924 28429.2928891638 0 0
"91" 0 0 17108.90947869 29533.6954379216 0 0
"92" 78547.9139295537 188.143413206003 17147.0953836683 29481.310387765 0 0
"93" 115057.831716632 2327.79338331001 17057.764631258 29359.9853790712 0 0
"94" 134983.299833664 3721.34557244231 17061.0586531907 29316.7386248262 0 0
"95" 145844.348418731 4091.04387991314 17083.3170898015 29301.2858123771 0 0
"96" 150603.428554399 4022.79097492545 17103.9318860909 29290.1739585209 0 0
"97" 151222.279253404 3624.26069367265 17122.6248854162 29281.0778938288 0 0
"98" 148812.776615558 2969.81646027145 17139.403134721 29272.9478832823 0 0
"99" 143985.754403437 2158.60142409008 17153.4945693643 29264.7604243612 0 0
"100" 137049.105189439 1330.93306352036 17163.3657782635 29255.3796937359 0 0
"101" 128137.759249409 652.138852583378 17167.2686670981 29243.6803759176 0 0
"102" 117336.326226749 235.274273194422 17164.5923187081 29229.0664060093 0 0
"103" 104762.705251509 58.5983557881702 17156.7928128475 29211.9769377752 0 0
