"V1" "V2" "V3" "V4" "V5" "V6"
"1713" 660151.37456008 835575.365778675 359716.865035883 755328.683269034 147618.772783996 4311440.03844286
"1714" 581144.566953191 768406.503963786 361219.368914428 758293.289224348 148096.006700798 4332052.02879348
"1715" 518049.214003899 713319.87171165 362384.123525051 760540.522148696 148508.188509287 4347178.48695431
"1716" 465640.667983812 665898.779810122 363542.909271141 762577.01805512 148876.161663172 4359525.49340775
"1717" 420940.324199708 623189.317883046 364587.944274725 764414.702439921 149189.275045298 4370195.72615726
"1718" 381957.435537775 583393.238207939 365509.944345431 766050.731537703 149465.734924278 4379365.14368772
"1719" 347139.28835448 545268.405266771 366380.403326833 767562.531003579 149723.104405507 4387331.75158134
"1720" 315330.262101565 507854.505970908 367239.376756083 769014.106427487 149967.546320033 4394465.82140646
"1721" 285682.895321921 470402.778467234 368093.066447689 770432.136120386 150201.253705339 4401014.00220279
"1722" 257544.212269737 432331.944501092 368944.820521597 771830.211180687 150427.38998557 4407107.52404961
"1723" 230389.280638264 393184.698258646 369805.00741001 773224.033543298 150649.694208972 4412836.52725927
"1724" 203789.229216701 352606.422100797 370685.493002274 774630.288981345 150871.060566941 4418283.00287052
"1725" 177389.318254692 310355.762214475 371594.296418508 776061.670721468 151093.158014247 4423516.82281538
"1726" 892323.868094422 1042172.69820857 335913.492830682 703555.627518017 147372.72264008 4303915.12257827
"1727" 759774.71943958 927100.764197671 337768.085512293 707354.934435419 148237.827169756 4335322.89741166
"1728" 658683.247851737 840740.927037873 340143.447418854 711397.219667923 148954.790729224 4362010.18974718
"1729" 579968.824240669 773071.982260084 341506.908924336 714202.432413123 149433.294693064 4382626.67920962
"1730" 517018.245662627 717725.561518136 342684.853516469 716412.354067183 149859.525727618 4397802.91105317
"1731" 464659.954138619 670064.506660254 343839.874545555 718440.773937327 150229.673729108 4410432.17934244
"1732" 420044.71278261 627174.336311035 344839.847598781 720233.014389524 150541.80044835 4421263.72903201
"1733" 381135.37173814 587284.038933126 345730.490608465 721823.93293045 150820.9893727 4430490.37100212
"1734" 346358.101172668 549119.515890254 346587.632449591 723308.463307093 151081.811106786 4438535.56077395
"1735" 314575.798350067 511698.07228648 347431.506757121 724736.855707693 151327.877246489 4445779.82859008
"1736" 284950.30550999 474270.333709029 348262.610190971 726125.986735763 151562.13428242 4452430.0568344
"1737" 256825.831875867 436256.958921707 349089.982766335 727491.53538993 151789.021365456 4458605.70368832
"1738" 229675.407425609 397196.584440079 349928.022209908 728853.429325841 152012.481166279 4464410.70459931
"1739" 203071.715861242 356726.816446194 350787.823513133 730229.04373508 152235.001128473 4469939.64291623
"1740" 176662.250324265 314596.452915798 351675.246377092 731629.548815878 152457.987712954 4475264.47699265
"1741" 891085.421749589 1048119.20655136 319027.953719302 665699.453247864 148502.781513434 4346328.01273505
"1742" 758911.049301418 932435.461615555 321030.727751019 669447.108007264 149412.019872071 4377823.52428051
"1743" 657709.991625794 845379.526160605 323312.368126788 673447.165272815 150119.028781014 4405272.0768825
"1744" 579205.385829821 777327.755157667 324584.326421809 676115.587979189 150604.284410853 4425863.48868916
"1745" 516313.827932131 721745.71191203 325776.81974578 678301.580460533 151040.906878823 4441183.63877778
"1746" 463988.893255334 673867.327660944 326907.090137294 680303.422962538 151411.644108336 4454050.5592698
"1747" 419436.184425685 630829.761337127 327866.464334065 682045.192112742 151724.81631674 4464985.96553088
"1748" 380569.513298144 590859.602727531 328736.625720767 683598.040129045 152007.569111849 4474275.70275716
"1749" 345815.2625411 552651.583614955 329580.431218916 685056.321072125 152271.092334167 4482414.7214911
"1750" 314051.704600452 515213.803541811 330405.037940097 686456.25762512 152518.410098808 4489758.63427457
